"Login successful.","Login successful."
"Invalid login or password.","Invalid login or password."
"Registration successful.","Registration successful."
"Username already exist. login to your account.","Username already exist. login to your account."
"Username exist.","Username exist."
"Registered and logged in.","Registered and logged in."
Close,Close
"Sign In","Sign In"
"Email Address","Email Address"
Password,Password
"Forgot Your Password?","Forgot Your Password?"
"Créer un nouveau compte","Créer un nouveau compte"
"Se connecter","Se connecter"
"Create Account","Create Account"
Name,Name
"Repeat Password","Repeat Password"
Register,Register
"Checkout using your account","Checkout using your account"
"Guest checkout is disabled.","Guest checkout is disabled."
