"Categorytab Slider","Categorytab Slider"
"Configuration Options","Configuration Options"
"Enable Module","Enable Module"
"Number of items showed on slide","Number of items showed on slide"
"Number of Rows to be showed on slide","Number of Rows to be showed on slide"
"Slide Speeds","Slide Speeds"
"Number of products was allowed on site","Number of products was allowed on site"
"Show Addtocart","Show Addtocart"
"Show Wishlist","Show Wishlist"
"Show Compare","Show Compare"
Navigation,Navigation
Pagination,Pagination
"Auto Slide","Auto Slide"
"Category Products Tab List","Category Products Tab List"
"List of Category Products","List of Category Products"
Title,Title
Identify,Identify
"Category Ids","Category Ids"
"Display Page Control","Display Page Control"
Template,Template
"Products Grid Template","Products Grid Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
