Hozmegamenu,Hozmegamenu
"Add New Templates","Add New Templates"
"Save Block","Save Block"
"Delete Block","Delete Block"
"Save and Continue Edit","Save and Continue Edit"
"Edit Item '%1'","Edit Item '%1'"
"New Item","New Item"
Advance,Advance
"Advance Information","Advance Information"
Template,Template
"Enable Module","Enable Module"
Yes,Yes
No,No
"Show Homepage","Show Homepage"
"Type Menu","Type Menu"
Hoztical,Hoztical
Vertical,Vertical
New,New
Hot,Hot
"Show Level","Show Level"
"Number columns","Number columns"
"Basic Information","Basic Information"
Main,Main
"Main Information","Main Information"
"Hozmegamenu Information","Hozmegamenu Information"
"This Hozmegamenu no longer exists.","This Hozmegamenu no longer exists."
"The Hozmegamenu has been saved.","The Hozmegamenu has been saved."
"Something went wrong while saving the Hozmegamenu.","Something went wrong while saving the Hozmegamenu."
"--Please Select--","--Please Select--"
Enabled,Enabled
Disabled,Disabled
"Select Product Actions","Select Product Actions"
"-- Please select --","-- Please select --"
"Mass Actions","Mass Actions"
"Select All","Select All"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"items selected","items selected"
Home,Home
Plazathemes,Plazathemes
Megamenu,Megamenu
"Configuration Options","Configuration Options"
"Show label or link  category","Show label or link  category"
"Show homepage","Show homepage"
"Visible menu depth","Visible menu depth"
"Popup settings","Popup settings"
"Top offset","Top offset"
