new,new
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wishlist","Add to Wishlist"
"Add to Compare","Add to Compare"
"Newproduct slider","Newproduct slider"
"Configuration Options","Configuration Options"
"Enable Module","Enable Module"
Title,Title
"Number of Rows to be showed on slide","Number of Rows to be showed on slide"
"Show item Deafault","Show item Deafault"
"Show item Desktop","Show item Desktop"
"Show item items Desktop Small","Show item items Desktop Small"
"Show item items Tablet","Show item items Tablet"
"Show item items Mobile","Show item items Mobile"
"Slide Speeds","Slide Speeds"
"Number of products was allowed on site","Number of products was allowed on site"
"Show Addtocart","Show Addtocart"
"Show Wishlist","Show Wishlist"
"Show Compare","Show Compare"
Navigation,Navigation
Pagination,Pagination
"Auto Slide","Auto Slide"
