Categories,Categories
"Manage Catalog Categories","Manage Catalog Categories"
"Manage Categories","Manage Categories"
"Something went wrong while getting the image url.","Something went wrong while getting the image url."
"Category Information","Category Information"
"Enable Category","Enable Category"
"Include in Menu","Include in Menu"
"Category Name","Category Name"
"Is New","Is New"
"Is Sale","Is Sale"
Content,Content
"Category Image","Category Image"
"Category Thumbnail","Category Thumbnail"
"Thumbnail Popular","Thumbnail Popular"
"Show Category Popular","Show Category Popular"
"Add CMS Block","Add CMS Block"
"Display Settings","Display Settings"
Anchor,Anchor
"Sort Products By","Sort Products By"
"Use All","Use All"
"Default Product Sorting","Default Product Sorting"
"Use Config Settings","Use Config Settings"
"Layered Navigation Price Step","Layered Navigation Price Step"
"Search Engine Optimization","Search Engine Optimization"
"URL Key","URL Key"
"Use Default","Use Default"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Products in Category","Products in Category"
Design,Design
"Use Parent Category Settings","Use Parent Category Settings"
Theme,Theme
Layout,Layout
"Layout Update XML","Layout Update XML"
"Apply Design to Products","Apply Design to Products"
"Schedule Design Update","Schedule Design Update"
"Schedule Update From","Schedule Update From"
To,To
